WiiAccX,WiiAccY,WiiAccZ,,,,CogX,CogY,,,cursorX,cursorY
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.349603176,-2.083354235,0,0,734,116
-0.5,-0.208333328,0.916666687,0,0,0,-2.322305441,-2.107757092,0,0,739,116
-0.541666687,-0.25,0.875,0,0,0,-2.322305441,-2.107757092,0,0,742,116
-0.541666687,-0.208333328,0.875,0,0,0,-2.314161539,-2.111346722,0,0,744,116
-0.458333343,-0.208333328,0.875,0,0,0,-2.314161539,-2.111346722,0,0,746,116
-0.375,-0.166666672,0.875,0,0,0,-2.326320648,-2.160030127,0,0,749,116
-0.375,-0.166666672,0.875,0,0,0,-2.341763735,-2.177278996,0,0,751,116
-0.458333343,-0.208333328,0.875,0,0,0,-2.326663256,-2.192407846,0,0,756,116
-0.5,-0.208333328,0.875,0,0,0,-2.35404253,-2.194288492,0,0,760,116
-0.458333343,-0.208333328,0.875,0,0,0,-2.369632721,-2.196365595,0,0,766,117
-0.416666657,-0.208333328,0.916666687,0,0,0,-2.347947121,-2.238116741,0,0,771,118
-0.416666657,-0.208333328,0.916666687,0,0,0,-2.388293743,-2.225405693,0,0,774,118
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.418524504,-2.218635798,0,0,777,118
-0.458333343,-0.208333328,0.875,0,0,0,-2.408666372,-2.203142643,0,0,778,118
-0.458333343,-0.208333328,0.875,0,0,0,-2.402444601,-2.221547127,0,0,781,118
-0.5,-0.208333328,0.875,0,0,0,-2.402444601,-2.221547127,0,0,782,118
-0.541666687,-0.208333328,0.833333313,0,0,0,-2.347099781,-2.215778351,0,0,786,119
-0.541666687,-0.25,0.833333313,0,0,0,-2.363405704,-2.20211482,0,0,791,121
-0.458333343,-0.208333328,0.875,0,0,0,-2.340761662,-2.17788291,0,0,797,121
-0.416666657,-0.166666672,0.916666687,0,0,0,-2.347491741,-2.170309067,0,0,803,123
-0.458333343,-0.166666672,0.958333313,0,0,0,-2.365734577,-2.18402195,0,0,809,124
-0.458333343,-0.208333328,0.875,0,0,0,-2.378130913,-2.159738064,0,0,812,125
-0.5,-0.291666657,0.875,0,0,0,-2.364744186,-2.183817148,0,0,817,126
-0.5,-0.208333328,0.833333313,0,0,0,-2.364744186,-2.183817148,0,0,822,128
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.357532263,-2.235811472,0,0,825,128
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.409766197,-2.241258144,0,0,828,128
-0.458333343,-0.208333328,0.875,0,0,0,-2.387041092,-2.279497385,0,0,830,128
-0.5,-0.208333328,0.833333313,0,0,0,-2.430148602,-2.323300838,0,0,833,128
-0.5,-0.25,0.833333313,0,0,0,-2.430148602,-2.323300838,0,0,837,128
-0.5,-0.208333328,0.916666687,0,0,0,-2.486398697,-2.354122162,0,0,841,129
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.486398697,-2.354122162,0,0,846,131
-0.5,-0.208333328,0.875,0,0,0,-2.498160601,-2.388308287,0,0,850,131
-0.5,-0.208333328,0.875,0,0,0,-2.556710243,-2.401976347,0,0,853,131
-0.5,-0.208333328,0.833333313,0,0,0,-2.50749588,-2.463668585,0,0,856,131
-0.416666657,-0.166666672,0.875,0,0,0,-2.509832621,-2.481287003,0,0,860,132
-0.416666657,-0.208333328,0.875,0,0,0,-2.487094164,-2.481092453,0,0,863,133
-0.458333343,-0.208333328,0.916666687,0,0,0,-2.524537086,-2.469750643,0,0,867,134
